#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
c_baroli;Baroli;Baroli;Baroli;;Baroli;;;;;;;;;x
c_baroli_adj;Barolian;;baroler;;;;;;;;;;;x
c_berj;Berj;Berj;Berj;;Berj;;;;;;;;;x
c_berj_adj;Berjian;;berjer;;;;;;;;;;;x
c_bobrozan;Bobrozan;Bobrozan;Bobrozan;;Bobrozan;;;;;;;;;x
c_bobrozan_adj;Bobrozanian;;bobrozaner;;;;;;;;;;;x
c_cansk;Cansk;Cansk;Cansk;;Cansk;;;;;;;;;x
c_cansk_adj;Canskian;;cansker;;;;;;;;;;;x
c_carizkale;Carizkale;Carizkale;Carizkale;;Carizkale;;;;;;;;;x
c_carizkale_adj;Carizkalean;;carizkaler;;;;;;;;;;;x
c_cerissu;Cerissu;Cerissu;Cerissu;;Cerissu;;;;;;;;;x
c_cerissu_adj;Cerissian;;cerisser;;;;;;;;;;;x
c_cervinja;Cervinja;Cervinja;Cervinja;;Cervinja;;;;;;;;;x
c_cervinja_adj;Cervinjan;;cervinjer;;;;;;;;;;;x
c_cibria;Cibria;Cibria;Cibria;;Cibria;;;;;;;;;x
c_cibria_adj;Cibrian;;cibrer;;;;;;;;;;;x
c_cota;Cota;Cota;Cota;;Cota;;;;;;;;;x
c_cota_adj;Cotan;;coter;;;;;;;;;;;x
c_dalibor;Dalibor;Dalibor;Dalibor;;Dalibor;;;;;;;;;x
c_dalibor_adj;Daliborian;;daliborer;;;;;;;;;;;x
c_delvaz;Delvaz;Delvaz;Delvaz;;Delvaz;;;;;;;;;x
c_delvaz_adj;Delvazian;;delvazer;;;;;;;;;;;x
c_dez;Dez;Dez;Dez;;Dez;;;;;;;;;x
c_dez_adj;Dezian;;dezer;;;;;;;;;;;x
c_dunavec;Dunavec;Dunavec;Dunavec;;Dunavec;;;;;;;;;x
c_dunavec_adj;Dunavecian;;dunavecer;;;;;;;;;;;x
c_dzaghig;Dzaghig;Dzaghig;Dzaghig;;Dzaghig;;;;;;;;;x
c_dzaghig_adj;Dzaghigian;;dzaghiger;;;;;;;;;;;x
c_el_aris;El Aris;El Aris;El Aris;;El Aris;;;;;;;;;x
c_el_aris_adj;El Arisian;;El Ariser;;;;;;;;;;;x
c_elja;Elja;Elja;Elja;;Elja;;;;;;;;;x
c_elja_adj;Eljan;;eljer;;;;;;;;;;;x
c_gilan;Gilan;Gilan;Gilan;;Gilan;;;;;;;;;x
c_gilan_adj;Gilanian;;gilaner;;;;;;;;;;;x
c_golgopeion;Golgopeion;Golgopeion;Golgopeion;;Golgopeion;;;;;;;;;x
c_golgopeion_adj;Golgopeionian;;golgopeioner;;;;;;;;;;;x
c_gomidas;Gomidas;Gomidas;Gomidas;;Gomidas;;;;;;;;;x
c_gomidas_adj;Gomidasian;;gomidaser;;;;;;;;;;;x
c_guzler;Guzler;Guzler;Guzler;;Guzler;;;;;;;;;x
c_guzler_adj;Guzlerian;;guzlerer;;;;;;;;;;;x
c_haiqban;Haiqban;Haiqban;Haiqban;;Haiqban;;;;;;;;;x
c_haiqban_adj;Haiqbanian;;haiqbaner;;;;;;;;;;;x
c_hyrkania;Hyrkania;Hyrkania;Hyrkania;;Hyrkania;;;;;;;;;x
c_hyrkania_adj;Hyrkanian;;hyrkaner;;;;;;;;;;;x
c_kazen;Kazen;Kazen;Kazen;;Kazen;;;;;;;;;x
c_kazen_adj;Kazenian;;kazener;;;;;;;;;;;x
c_khosrova;Khosrova;Khosrova;Khosrova;;Khosrova;;;;;;;;;x
c_khosrova_adj;Khosrovan;;khosrover;;;;;;;;;;;x
c_latias;Latias;Latias;Latias;;Latias;;;;;;;;;x
c_latias_adj;Latiasian;;latiaser;;;;;;;;;;;x
c_lebidon;Lebidon;Lebidon;Lebidon;;Lebidon;;;;;;;;;x
c_lebidon_adj;Lebidonian;;lebidoner;;;;;;;;;;;x
c_leyre;Leyre;Leyre;Leyre;;Leyre;;;;;;;;;x
c_leyre_adj;Leyrean;;leyrer;;;;;;;;;;;x
c_lower_kastiid;Lower Kastiid;Lower Kastiid;Lower Kastiid;;Lower Kastiid;;;;;;;;;x
c_lower_kastiid_adj;Lower Kastiidian;;Lower Kastiider;;;;;;;;;;;x
c_lygia;Lygia;Lygia;Lygia;;Lygia;;;;;;;;;x
c_lygia_adj;Lygian;;lyger;;;;;;;;;;;x
c_mallanzala;Mallanzala;Mallanzala;Mallanzala;;Mallanzala;;;;;;;;;x
c_mallanzala_adj;Mallanzalan;;mallanzaler;;;;;;;;;;;x
c_maras;Maras;Maras;Maras;;Maras;;;;;;;;;x
c_maras_adj;Marasian;;maraser;;;;;;;;;;;x
c_marasa;Marasa;Marasa;Marasa;;Marasa;;;;;;;;;x
c_marasa_adj;Marasan;;maraser;;;;;;;;;;;x
c_marathos;Marathos;Marathos;Marathos;;Marathos;;;;;;;;;x
c_marathos_adj;Marathosian;;marathoser;;;;;;;;;;;x
c_marut;Marut;Marut;Marut;;Marut;;;;;;;;;x
c_marut_adj;Marutian;;maruter;;;;;;;;;;;x
c_mercania;Mercania;Mercania;Mercania;;Mercania;;;;;;;;;x
c_mercania_adj;Mercanian;;mercaner;;;;;;;;;;;x
c_metel;Metel;Metel;Metel;;Metel;;;;;;;;;x
c_metel_adj;Metelian;;meteler;;;;;;;;;;;x
c_mosheddin;Mosheddin;Mosheddin;Mosheddin;;Mosheddin;;;;;;;;;x
c_mosheddin_adj;Mosheddinian;;mosheddiner;;;;;;;;;;;x
c_myszin;Myszin;Myszin;Myszin;;Myszin;;;;;;;;;x
c_myszin_adj;Myszinian;;mysziner;;;;;;;;;;;x
c_ohaneus;Ohaneus;Ohaneus;Ohaneus;;Ohaneus;;;;;;;;;x
c_ohaneus_adj;Ohaneusian;;ohaneuser;;;;;;;;;;;x
c_ostovia;Ostovia;Ostovia;Ostovia;;Ostovia;;;;;;;;;x
c_ostovia_adj;Ostovian;;ostover;;;;;;;;;;;x
c_ostronec;Ostronec;Ostronec;Ostronec;;Ostronec;;;;;;;;;x
c_ostronec_adj;Ostronecian;;ostronecer;;;;;;;;;;;x
c_parwiz;Parwiz;Parwiz;Parwiz;;Parwiz;;;;;;;;;x
c_parwiz_adj;Parwizian;;parwizer;;;;;;;;;;;x
c_pazanbey;Pazanbey;Pazanbey;Pazanbey;;Pazanbey;;;;;;;;;x
c_pazanbey_adj;Pazanbeian;;pazanbeer;;;;;;;;;;;x
c_ragheni;Ragheni;Ragheni;Ragheni;;Ragheni;;;;;;;;;x
c_ragheni_adj;Raghenian;;raghener;;;;;;;;;;;x
c_rilkymet;Rilkymet;Rilkymet;Rilkymet;;Rilkymet;;;;;;;;;x
c_rilkymet_adj;Rilkymetian;;rilkymeter;;;;;;;;;;;x
c_saasaniyas;Saasaniyas;Saasaniyas;Saasaniyas;;Saasaniyas;;;;;;;;;x
c_saasaniyas_adj;Saasaniyasian;;saasaniyaser;;;;;;;;;;;x
c_sapra;Sapra;Sapra;Sapra;;Sapra;;;;;;;;;x
c_sapra_adj;Sapran;;saprer;;;;;;;;;;;x
c_skarjiq;Skarjiq;Skarjiq;Skarjiq;;Skarjiq;;;;;;;;;x
c_skarjiq_adj;Skarjiqian;;skarjiqer;;;;;;;;;;;x
c_solactus;Solactus;Solactus;Solactus;;Solactus;;;;;;;;;x
c_solactus_adj;Solactusian;;solactuser;;;;;;;;;;;x
c_stepanya;Stepanya;Stepanya;Stepanya;;Stepanya;;;;;;;;;x
c_stepanya_adj;Stepanyan;;stepaner;;;;;;;;;;;x
c_steydia;Steydia;Steydia;Steydia;;Steydia;;;;;;;;;x
c_steydia_adj;Steydian;;steyder;;;;;;;;;;;x
c_strazpina;Strazpina;Strazpina;Strazpina;;Strazpina;;;;;;;;;x
c_strazpina_adj;Strazpinan;;strazpiner;;;;;;;;;;;x
c_thuryma;Thuryma;Thuryma;Thuryma;;Thuryma;;;;;;;;;x
c_thuryma_adj;Thuryman;;thurymer;;;;;;;;;;;x
c_treporti;Treporti;Treporti;Treporti;;Treporti;;;;;;;;;x
c_treporti_adj;Treportian;;treporter;;;;;;;;;;;x
c_tripoinion;Tripoinion;Tripoinion;Tripoinion;;Tripoinion;;;;;;;;;x
c_tripoinion_adj;Tripoinionian;;tripoinioner;;;;;;;;;;;x
c_upper_kastiid;Upper Kastiid;Upper Kastiid;Upper Kastiid;;Upper Kastiid;;;;;;;;;x
c_upper_kastiid_adj;Upper Kastiidian;;Upper Kastiider;;;;;;;;;;;x
c_vathaistos;Vathaistos;Vathaistos;Vathaistos;;Vathaistos;;;;;;;;;x
c_vathaistos_adj;Vathaistosian;;vathaistoser;;;;;;;;;;;x
c_veigonopole;Veigonopole;Veigonopole;Veigonopole;;Veigonopole;;;;;;;;;x
c_veigonopole_adj;Veigonopolean;;veigonopoler;;;;;;;;;;;x
c_verios;Verios;Verios;Verios;;Verios;;;;;;;;;x
c_verios_adj;Veriosian;;verioser;;;;;;;;;;;x
c_xira;Xira;Xira;Xira;;Xira;;;;;;;;;x
c_xira_adj;Xiran;;xirer;;;;;;;;;;;x
c_yehorivka;Yehorivka;Yehorivka;Yehorivka;;Yehorivka;;;;;;;;;x
c_yehorivka_adj;Yehorivkan;;yehorivker;;;;;;;;;;;x
c_yezras;Yezras;Yezras;Yezras;;Yezras;;;;;;;;;x
c_yezras_adj;Yezrasian;;yezraser;;;;;;;;;;;x
c_zadiad;Zadiad;Zadiad;Zadiad;;Zadiad;;;;;;;;;x
c_zadiad_adj;Zadiadian;;zadiader;;;;;;;;;;;x
c_zanic;Zanic;Zanic;Zanic;;Zanic;;;;;;;;;x
c_zanic_adj;Zanician;;zanicer;;;;;;;;;;;x
